# SRC: TARGET_NAME 
# RA: 17 h 45 m 40.0410 s
# DEC: -29 deg  0 m 28.1180 s
# MJD: 0.1111 - 0.7950 
# RF: 227.2970 GHz 
# BW: 4.0960 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# ----------------------------------------------------------------
# Site       X(m)             Y(m)             Z(m)           SEFD
# ALMA50     2225037.18510   -5441199.16200   -2479303.46290  110.0000 
# SMTO      -1828796.20000   -5054406.80000    3427865.20000  11900.0000 
# LMT        -768713.96370   -5988541.79820    2063275.94720  560.0000 
# Hawaii8   -5464523.40000   -2493147.08000    2150611.75000  4900.0000 
# PV         5088967.90000    -301681.60000    3825015.80000  2900.0000 
# PdBI       4523998.40000     468045.24000    4460309.76000  1600.0000 
# SPT              0.00000          0.00000   -6359587.30000  7300.0000 
# GLT        1500692.00000   -1191735.00000    6066409.00000  4744.0000 
# ----------------------------------------------------------------
# time (hr) tint    T1     T2    Elev1   Elev2  Tau1   Tau2   U (lambda)       V (lambda)         Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
02.66666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2343637340.0000  8325581530.0000    0.03383500    81.5663   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.66944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2341363610.0000  8326409880.0000    0.02201900   -12.0574   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.67222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2339088620.0000  8327237420.0000    0.01995400   -59.7156   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.67500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2336812400.0000  8328064150.0000    0.01388300   -51.8702   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.67777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2334534940.0000  8328890080.0000    0.01636600  -124.3535   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.68055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2332256230.0000  8329715210.0000    0.04092500     0.6641   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.68333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2329976290.0000  8330539530.0000    0.03792300  -147.4227   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.68611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2327695100.0000  8331363040.0000    0.00756300  -134.3060   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.68888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2325412670.0000  8332185750.0000    0.03422100    16.1238   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.69166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2323129020.0000  8333007650.0000    0.00431300  -120.4377   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.69444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2320844120.0000  8333828740.0000    0.04385000   144.3843   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.69722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2318557990.0000  8334649020.0000    0.03477600    71.8258   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.70000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2316270630.0000  8335468500.0000    0.01335000  -100.5191   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.70277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2313982040.0000  8336287160.0000    0.03879800  -106.2493   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.70555556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2311692210.0000  8337105020.0000    0.00265500    77.8525   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.70833333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2309401150.0000  8337922060.0000    0.00680400  -156.4954   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.71111111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2307108880.0000  8338738300.0000    0.02307800     1.3941   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.71388889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2304815360.0000  8339553720.0000    0.00782800   -52.4775   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.71666667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2302520630.0000  8340368330.0000    0.02922200    16.4239   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.71944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2300224660.0000  8341182140.0000    0.00881100   -36.5358   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.72222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2297927490.0000  8341995130.0000    0.02014800   -57.7894   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.72500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2295629090.0000  8342807300.0000    0.00995900  -150.9503   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.72777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2293329450.0000  8343618670.0000    0.02867800   101.3301   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.73055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2291028610.0000  8344429220.0000    0.02688200    42.7050   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.73333333 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2288726550.0000  8345238950.0000    0.02412800  -144.8562   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.73611111 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2286423270.0000  8346047880.0000    0.01793500    18.9573   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.73888889 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2284118780.0000  8346855990.0000    0.01876200    69.9410   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.74166667 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2281813070.0000  8347663280.0000    0.03424300    -6.4909   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.74444444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2279506140.0000  8348469760.0000    0.02364800   174.2492   0.00000000     0.0000    0.00000000     0.0000    0.01608000
02.74722222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2277198010.0000  8349275420.0000    0.03001400   -48.2645   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.00000000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2062244850.0000  8419120580.0000    0.01862900   -18.3428   0.00000000     0.0000    0.00000000     0.0000    0.01608000
03.00277778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -2059830540.0000  8419849400.0000    0.01842600   -46.1855   0.00000000     0.0000    0.00000000     0.0000    0.01608000
